TF,std,mean
PCGF2,216.15912154799844,455.15
FLYWCH1,320.7038749787466,727.3176470588236
RBPJL,309.4778047535643,818.1970588235295
GLMP,336.74155237262664,744.2294117647059
NR2E1,280.79141454703984,668.6235294117647
TOPORS,334.9871975983869,697.0588235294117
ZNF706,280.0587455336436,880.182941176471
ZNF598,297.6401868147245,803.7907647058823
KMT2B,225.06143338911855,404.38235294117646
WIZ,267.569594970609,776.0025294117648
HEY1,272.54092949739726,650.7717647058826
HAND2,256.33779130535015,681.3217647058825
FBXL19,322.4413514587197,791.5823529411765
ZNF639,196.21726944576113,592.7523529411772
MAZ,163.63833833293276,496.7329411764706
TBP,120.26809213328836,357.5470588235294
ZIC5,240.60614570176807,740.2323529411766
SGSM2,342.7130840759766,728.7382352941177
ZNF410,284.76332792565626,716.3933529411764
MTERF3,347.1869165086423,795.1941176470589
ZNF488,315.0442819525849,613.2264705882353
ZNF98,298.937598490901,810.1911764705881
NFYB,171.13002335604114,442.4176470588236
FOXS1,297.65223596215156,735.0364705882351
RFX1,203.9356974815214,673.9870588235303
POU5F1B,320.16348101727203,814.5470588235294
HSF1,125.64290981441886,423.5294117647058
INSM1,280.7003440789279,741.5223529411763
KCNIP3,355.6317869398135,635.2323529411765
NEUROD1,199.48355658479764,610.7811764705891
MEOX1,338.07786699604657,687.7186470588236
ZNF418,261.390749677672,687.1335294117647
ZNF618,286.65134030972354,688.9110000000001
KDM5B,127.31321651423094,399.9588235294116
ZNF74,255.44606182774996,742.7223529411763
THAP5,270.08167733694853,738.6892352941177
DACH1,214.2912392939846,535.1351176470588
ZIC3,199.14010203129467,594.3276470588245
GATA5,297.06444760343476,688.6623529411764
ZNF428,272.2200645633165,673.9521764705883
ELK1,126.69040615408201,383.7705882352941
PRDM8,271.1744042012608,626.0117647058826
ARGFX,257.31342446320247,842.164117647059
HMGN3,187.91151478592332,476.8611764705888
ZFPM1,261.0596493057652,785.3611764705882
ZBED4,277.10959018689124,831.2170588235292
SP5,256.2321352383132,679.9488235294118
ZNF587,276.7088418519856,745.1364705882355
SOX12,267.88048690903236,769.7276470588235
TBPL1,312.30387349157553,911.635294117647
FEV,312.7116705128029,760.7919411764705
ZIC2,229.5456466734182,735.9152941176468
ZNF556,268.6910478095427,797.9847058823531
ZNF727,318.70016880812796,776.2058823529412
HEYL,315.5180225534438,674.687
ARHGAP35,301.1499864092735,932.3441176470589
NPAS3,308.340893886979,704.7882352941177
SOX2,168.63927554760903,447.33176470588234
NR2C2,180.05433492099726,542.7329411764708
LEF1,217.3126059877737,578.3164705882363
ZNF517,277.2765496875156,804.2141176470587
SOX3,250.41373334453155,785.595294117647
NR6A1,269.45115086293004,772.2429411764705
SOX5,244.93977113246135,791.1170588235295
XBP1,211.69445634683302,606.8326470588245
ERG,178.14864611546767,434.5623529411765
ZNF653,266.5995951002667,792.8233529411763
SP8,272.7258126421273,704.8694117647059
ETS1,144.47361649744096,382.11623529411764
ZNF423,272.84573263231835,711.5931176470589
EGR3,267.26715496459354,776.2288235294118
EBF4,269.9551414649199,696.335705882353
ZNF346,265.28292009222105,813.5076470588234
ZNF8,312.732446108392,803.8617647058824
PDX1,165.1730434818995,507.87294117647065
TCF3,125.77468113475479,415.9923529411765
ZNF793,247.2828081215549,769.5729411764705
HAND1,286.80778951052275,715.8705882352941
MYT1,282.8629074081647,740.0617647058823
PAX6,147.765616440425,518.1694117647058
CXXC5,343.33787809985864,733.9705882352941
ETS2,210.08334165848254,598.5511764705892
FLI1,162.75319597460387,392.87558823529406
HSFY1,305.0196732227389,1035.5794117647058
IKZF1,172.4380725348483,427.46741176470584
STAT3,138.18175871294457,438.5629411764706
ZNF524,278.44257192038737,721.6994117647058
ZNF384,154.27353851195048,527.841176470588
CIC,248.53180175685952,756.8235294117648
ESR1,136.08486847086138,394.1358823529412
HOXA2,192.4806146004173,545.5497058823539
ZNF142,285.24543381996665,876.5923529411765
HOXA6,288.0982725144844,772.8457058823527
ZNF500,280.02798308095646,805.7641176470589
NR2F2,152.90487261566795,413.64117647058833
ZNF728,319.9099352920645,951.8323529411765
ATF4,200.43692294511902,613.6817647058832
PPARG,177.6952579880832,480.07529411764716
CENPS,300.9771398960277,946.9176470588235
MYC,131.88589035803187,414.1311764705884
ZNF676,283.9719979503428,719.9188235294118
ZNF680,242.42861143878739,646.0080588235293
CENPX,467.4026782410119,824.3294117647059
ZFX,154.0873160007489,473.9894117647059
TSHZ1,248.42494444174497,728.6829411764706
RXRA,124.23375231558462,414.1547058823528
SIX5,164.94669546217472,435.5858823529412
ZNF493,251.0935301441766,774.8711764705885
SKOR2,319.6811322458012,893.2823529411764
GATAD2A,275.9205974984692,805.4094117647061
ZNF502,270.6867121928006,795.2939411764706
ZBTB7A,172.35777446052654,468.9317647058826
ZNF264,233.44629257114806,728.5115882352942
SOX1,260.4619152189025,716.6647058823532
NR2C1,237.2701894880616,780.0429411764709
PATZ1,284.6003211062061,722.2711764705884
ZNF451,261.8146869933843,756.5500000000001
LMX1B,251.96155312822214,745.2376470588235
ZNF521,233.16852891510845,731.7741176470588
GTF2B,162.08968489122873,429.3947058823537
ZNF592,202.77765759513616,681.6294117647068
DMRTC2,293.9838968125681,836.1564705882354
HSFX1,293.3327567870935,968.3970588235294
SEBOX,261.56583507268516,910.2823529411764
ESRRA,157.96731975093272,540.9517647058823
FOXP2,124.40439674694845,453.23570588235316
HOXD10,281.4291610126622,679.2694117647058
TLX3,251.65711909534355,792.1505882352943
FOXK2,194.288447079694,665.5900000000008
SCRT1,342.10146425150134,647.0617647058823
GLI3,281.9141555229757,630.6852941176471
SOX21,280.63499694304664,709.2423529411766
ATF2,171.43205761467746,466.96352941176474
GATA3,134.00025220506058,423.35352941176467
TBR1,280.4092865800775,710.2323529411765
ARNT,162.30560313038578,488.4082352941177
POU3F2,216.7138831744438,534.1885294117654
OTX2,197.64642575919407,635.7500000000007
GMEB2,259.2283237904446,767.5070588235294
ZNF195,257.75562899632945,674.5372352941176
ISL1,246.44024807209627,728.1284705882354
THAP9,258.4936974983388,762.1352941176472
PA2G4,374.8367929333806,722.0764705882353
PTF1A,299.70873919898474,873.5129411764707
LIN28B,242.2481802555059,756.4382352941176
SP140,339.5906888353722,738.566470588235
STAT4,236.4358866758166,651.4964705882363
PRR12,292.1631686607622,744.8527647058825
STAT1,154.83851794522707,406.92041176470616
MEIS3,285.65148909051936,675.7941176470587
YY1,147.05842316965206,445.84494117647034
ZNF354C,279.0691654203475,770.3394117647058
EMX1,260.73806254087737,673.7370588235293
TFAP2D,243.64814411967532,845.4717647058823
TCF12,162.98388883838825,418.27294117647074
IRF3,166.51812055979093,448.9247058823529
HOXC5,259.53669493627996,694.4041176470588
SCMH1,319.2161815344399,800.0529411764705
ZNF503,240.62408361463875,680.05
SP110,302.03666109046543,693.8245294117644
HIC1,304.5397256503648,648.6688235294116
DBX1,250.4070130934924,773.3935294117645
HOXD4,303.1394945951978,737.6600000000002
ZNF775,265.19210701353813,701.0062941176471
ALX4,270.37368036177327,665.4682352941178
EBF3,277.793321361354,742.4545294117648
POU6F1,266.0694245972925,700.4747058823532
USF2,149.38354520076513,509.1517647058823
ARNT2,255.3182450376023,660.4478235294116
ZNF710,268.8524032339641,764.731764705882
GPBP1,309.4588768453828,751.7382352941177
HOXC9,209.31378757103835,562.4479411764715
DLX1,277.9774859612869,671.6429411764707
SRF,121.16802710801014,429.1876470588236
BACH2,209.01657921074923,579.7223529411773
RORA,248.2951466757363,682.7992352941177
MYF5,275.42416762717494,717.3041176470587
DUXA,233.1079503533192,832.9070588235292
SOHLH1,291.8805098493857,686.5339411764706
THAP11,168.55703475645657,501.8847058823528
TBX5,235.45399393735323,547.3141176470597
ZNF184,258.82398763178116,782.0894117647059
RORB,294.92670677703654,672.2866470588233
CEBPD,120.79845641130512,376.35764705882366
EN2,256.0720098219919,764.7374705882353
SALL4,194.39241596117662,545.5388235294128
GATA2,135.32796075278432,423.8401764705879
THYN1,336.791137206637,831.3823529411765
JUN,140.0848495152133,374.783705882353
L3MBTL4,345.81366295787046,849.2529411764706
SKOR1,333.244975801022,938.4029411764706
FOXP4,272.65671414406523,733.0911764705883
HLF,252.3274358698549,669.6376470588236
NACC2,346.32547737267373,684.4264705882352
ZEB1,174.12325427632354,454.55647058823496
MBD3,188.7203914295318,567.6035294117655
SRCAP,297.85544481508185,737.9325294117646
PRDM16,185.63668374069724,629.7655882352951
CHCHD3,339.23268898041874,794.3441176470589
FEZF2,234.87345782514757,790.0747058823532
ZNF416,257.9949911073421,737.4888235294119
TCF7,179.2563754493192,494.56705882352935
HOXA9,204.0128156135373,593.200588235295
HOXD9,287.19760994447296,665.7715882352942
ZNF644,194.63486605049002,528.9294117647069
MAFA,299.766929152597,711.0421764705882
MEIS2,197.3979428611296,558.9194117647068
PAX3,261.2613864240162,732.4941176470587
RXRG,299.4480396636549,763.8982352941175
IRX1,272.06872754516246,733.6419411764706
LHX8,274.09563551014145,729.3611764705882
TBX20,269.66588118572486,686.3066470588235
NFE2,195.91647353618367,537.5564705882351
IRF1,154.2522798678996,400.6524117647059
TAL1,152.9917010486853,443.4195882352943
TCFL5,223.04399487431908,820.5911764705883
ZNF280B,284.8491584413419,706.6794117647058
ARID3B,358.6387668029637,729.7941176470588
ZFP42,199.74545865371897,672.0832352941186
BHLHE40,174.84172139054684,420.99764705882416
DLX2,282.5046234478381,733.2470588235295
YBX2,274.05673925550695,794.2
BHLHA15,360.7597708819654,907.0117647058823
DEAF1,210.15093096552525,527.1279411764715
OTX1,264.8465235250797,716.8294117647059
GABPA,145.6976325972793,430.6225294117646
ZNF317,255.13867839747473,819.4452941176477
NR2F1,209.71158327347396,567.7135294117656
ZBTB41,260.7765131165909,746.3423529411765
TBPL2,293.1422880072057,1035.6323529411766
MNX1,218.89492486341632,584.4714705882361
SCML4,305.7198600043153,744.2796470588233
ZNF783,245.32732198916452,894.8229411764707
THAP1,164.73991084811334,549.355294117647
ZNF274,131.39948149387968,446.3929411764707
ZNF140,257.2781777477718,689.5194117647059
YBX1,274.66518785880135,916.3952941176468
TP53,156.21584234396414,446.49176470588236
SOX11,172.00628229001654,470.4164705882352
DPRX,257.79692374714466,739.8399999999998
MEIS1,159.17125234341853,521.6811764705883
MECP2,258.64484416638413,766.409411764706
ZNF213,270.9726057626314,871.5017647058822
RFX6,278.7775989305927,721.5817647058823
ZNF579,262.51273291114904,783.7905882352943
AKAP8L,261.32403129766254,811.4213529411765
POU5F1,165.26754389079693,461.781176470588
ZNF624,263.70574130433226,701.1617647058825
STAT5A,134.98853642322354,445.51076470588225
RUNX1,156.3766840828506,490.09647058823566
TBX10,323.3933679363264,749.4876470588235
NR0B1,184.75377863283052,567.5529411764713
BCL11B,187.4216730795583,552.8550000000009
HIF1A,182.54045175324606,488.670588235294
SOX9,162.43357561782494,422.0882352941176
SPDEF,286.4293652461667,739.5729411764706
FOXG1,286.73779571692336,677.6709411764705
ZNF10,251.5001147960563,738.1082352941177
RELA,142.74312837358156,402.279411764706
ETV4,211.46648678882147,580.6235294117656
HES5,248.18790979286484,880.2564705882353
HOXD13,186.28164423652686,559.0729411764713
RHOXF1,256.17302614657876,933.4605882352943
TFAP2A,129.551334961028,412.87941176470605
GFI1,312.94460298774555,752.2158823529417
FOXF1,271.114606695004,666.0054705882354
NEUROD6,287.81336660745114,689.824882352941
MAX,158.40204981410918,506.3258823529409
SREBF2,130.6939956865949,452.11941176470555
HMX1,267.5110582117607,721.7864705882351
SKI,322.88798391490315,849.2882352941176
MAF,202.13055247105885,583.9694117647067
ZIM3,245.53631983155128,957.7047058823528
NFATC1,165.37559112914968,488.1564705882355
DMBX1,224.91556802419208,839.8100000000001
MYOD1,184.4954954951155,467.94000000000017
DMRTB1,253.66679822368974,955.1523529411766
ZNF594,278.45035066648074,780.7764705882353
ZNF432,262.9313450005154,802.3023529411767
PGR,196.68066943803905,554.2317647058833
OLIG2,217.73794841654822,518.3870588235302
CLOCK,159.67003696526808,471.9976470588234
MTERF2,318.04886410734457,716.885294117647
HOXB7,155.8546892732619,515.9717647058823
NEUROD2,191.49956380186225,641.5952941176479
ZSCAN22,264.7764070354261,828.7841176470588
ZNF835,235.0338531769994,834.9929411764701
ZBTB40,257.1117938939123,813.7229411764707
HOXC11,206.9115301291421,582.8811764705893
SOX8,288.30267313319627,686.6205882352942
TCF15,263.63871008432193,802.0964705882352
AHDC1,285.8167626371582,705.950588235294
ETV1,184.23093104972153,571.8882352941187
ELF1,138.01331150960095,371.62000000000006
FEZF1,262.3665428707714,728.9752941176471
ZNF431,246.53331928549844,792.0229411764706
NR5A2,228.1824018739699,651.4267647058831
ZSCAN18,281.5718062863729,722.7941176470588
MXD4,243.87500933371237,717.1692352941175
HINFP,215.32589418986956,654.0988235294116
KLF2,207.53786967637626,571.5458823529419
KLF17,248.19492494586328,916.0994117647058
NME2,236.3888581767432,540.774882352941
CEBPB,158.59092815638934,420.65447058823526
SNAPC4,221.67917932244978,682.2058823529419
XPA,243.46236494609266,879.3870588235295
LHX2,192.22687748174957,582.1276470588244
NFYA,141.73446270106564,605.7399999999999
ZNF853,329.2906614445421,684.4411764705883
ZNF497,240.66682193212063,813.6452941176473
SETDB1,146.6753506786104,465.38058823529434
CDX4,270.7458991529022,719.9604117647058
GTF3A,272.56643630204877,812.5129411764707
HOXA7,273.48574833742714,761.5035294117647
FOXK1,220.87284813239546,632.0341176470596
CREB1,126.48991151939816,358.7752941176471
EGR4,278.2489798602097,750.6723529411763
GRHL2,188.3782199018234,489.0105882352942
FOXA2,131.78236409683547,451.2601764705885
HSF5,278.0440510013661,922.424705882353
NFATC2,296.59408155720433,694.7221764705884
ZBTB8A,304.2674827256515,716.4882352941177
KDM2B,346.604633875769,729.0764705882353
DPF1,316.6582058430745,705.9462352941176
BAZ2A,284.16478773518617,815.3182352941171
ZNF17,276.2550699898416,713.4517647058822
SREBF1,131.70418971669594,424.4629411764709
MYNN,181.84099182466892,590.5738235294127
NHLH2,277.25434727366155,734.673529411765
PRDM14,178.7872813528603,465.35294117647067
GLI4,325.9089091911261,727.035294117647
KAT7,309.2482805677514,833.9088235294117
CEBPA,165.01439467634418,487.11411764705895
DLX3,318.6670648886782,703.2262941176472
AHR,173.21007804625808,499.3658823529414
ZNF683,290.9287457638552,894.9364705882352
TBX21,246.57009075315725,603.7870588235303
ELK3,218.3447901271121,566.7097058823539
CAMTA2,286.5466021477832,709.6045294117647
TEAD4,138.06057295349177,415.8041176470587
ZNF16,226.21705999362973,871.9547058823529
MYRFL,419.61498351362553,761.8588235294118
GLYR1,214.88223124113222,600.764705882353
NR2F6,211.1941853711014,592.4494117647066
ZNF791,247.9541652210542,766.2170588235294
TAL2,278.62397608939216,783.0888235294117
RAX,257.02322386641043,712.0329411764707
ADNP2,258.1332569087353,791.1117647058821
FOXD4L4,327.00837508474547,915.5882352941177
RUNX3,186.64879097650194,524.464705882353
OLIG1,287.0144170987902,670.9625294117645
EMX2,262.88424702083057,735.6023529411763
LYL1,198.72017536591272,547.5682352941174
GLI1,175.3081868568787,562.0523529411773
LIN28A,294.8422576130284,902.1588235294117
TET1,213.77399185998647,502.5635294117647
BATF2,279.18370934744433,706.559176470588
ZBTB42,315.0679556006334,723.385294117647
IRX6,276.7430678773529,702.2982352941174
MTF2,229.44504156989186,493.32823529411775
SALL2,256.113654803524,703.1764705882352
NFATC3,239.6292338414732,735.3452941176471
BARHL1,277.7771232634049,721.2347058823528
LMX1A,257.98011515121743,850.9917647058824
RARB,197.8551156293843,514.7194117647068
IRF9,224.74667604509096,553.0082352941185
CENPB,254.45353158653626,760.1270588235294
KDM2A,329.1835159375153,725.3735294117647
SETBP1,255.9943776492765,705.4956470588238
FIZ1,263.91942340046404,739.6741176470589
ZNF532,279.5258317980615,729.0537058823533
AKNA,328.4974512432427,804.3033529411766
ZNF816,309.5570810032203,781.2382352941177
ZNF444,312.24459232577567,718.5007647058826
CTCF,147.06180010026245,456.2052941176472
ZNF208,255.12248590389575,832.0670588235292
ARID2,208.3770604905213,556.3647058823539
POU3F1,192.93520533152417,590.2058823529421
NFATC4,304.1408217026603,678.3533529411765
GBX1,331.700652270496,766.5441176470588
SIX6,247.32043284001833,774.7970588235293
ZNF580,283.87908524415235,716.9207647058822
MXI1,155.74425767525605,443.1200000000001
POU2F1,210.06439716712495,636.5588235294126
DLX4,193.87459550020716,546.1164705882362
ZSCAN26,330.61997591452456,835.2323529411765
ATOH7,280.5683952692294,764.2868823529411
KLF6,209.74207149474745,597.2179411764715
ZNF138,260.8963980133595,706.9364705882354
SPZ1,314.62428027616835,1128.7205882352941
NKX63,330.7561421302848,754.4441176470589
NPAS4,263.5805294484986,752.144705882353
BARX1,251.19922539182346,679.8929411764702
CEBPE,300.31381770883763,816.0976470588234
PKNOX1,195.62049932637507,732.4864705882361
REST,137.03728708819426,392.6415882352941
ZNF652,180.51334531580775,603.2517647058831
BRF2,230.597115239027,592.7423529411767
EGR1,129.5905276110176,388.19764705882363
TERF1,201.66393593398655,594.8370588235305
ZNF789,277.1494382937421,796.2611764705889
ATF6B,312.3354747689809,685.1823529411764
HOXB8,264.04957781228734,746.9094117647057
ZNF608,251.03801094196032,722.5117647058825
ZNF511,268.96920647672374,798.7070588235295
NOBOX,277.58122401597967,898.8129411764706
NANOGNB,287.79499989549004,990.9676470588236
ZNF506,283.2893009389043,769.6882352941177
PRDM6,295.1143599249312,751.5770588235292
ZNF479,268.8698391705427,958.4552941176472
GBX2,197.04114092277877,567.7670588235303
ZNF551,262.32722767252,748.800588235294
ZNF283,262.18220584605706,786.5129411764707
ZNF770,260.0389688781149,666.5631176470588
ZGLP1,311.662934312193,846.2617647058823
ZNF324B,345.6889538452898,851.75
MBD2,198.6671037491561,633.669411764707
DOT1L,253.87837697304133,851.2811764705882
RARG,203.39651427823443,610.9382352941186
ZNF682,267.1595669831869,686.9243529411766
GLIS2,299.3867403925366,627.491176470588
ZNF92,217.11829563394835,554.0429411764715
THAP4,279.64689844632807,759.0999999999999
GLIS3,281.5121878463445,678.2480000000002
SPIC,269.5410794104156,889.1011764705881
ELK4,169.34997792741726,524.1023529411766
SPI1,168.99114983159973,431.5258823529412
ZNF48,251.37377083561083,757.044705882353
MYB,143.35356188402906,436.985882352941
ZBTB17,275.534233437575,753.0929411764707
ZNF280C,276.98538598002847,685.6860588235292
NR3C1,117.15515209487731,403.82941176470564
FOXI2,254.25349601733012,930.9923529411763
STAT2,174.9390529840686,452.4588235294116
BARHL2,245.44280816172912,719.054705882353
ZNF28,250.10462680455612,703.4466470588237
HNF4G,211.37871207351014,494.4741176470587
LHX5,251.3504147862633,773.5747058823526
KLF3,192.6090411047212,577.5335294117656
ZNF287,264.65117222810954,726.4770588235297
ZBTB46,268.1863456842765,745.460588235294
ZNF829,244.1048450808071,891.6747058823532
TGIF2LX,236.89448359001022,971.387647058823
SP4,165.90169978318548,505.4482352941177
BCL11A,155.4277805910641,489.2070588235292
FOXD4,234.46495912710597,849.5464705882355
BCL6B,328.9760282272125,660.7461176470589
FAM170A,265.15825704567226,956.9047058823526
MEF2A,142.42763693259562,384.0025294117647
TFAP2C,152.11419987892916,409.9145294117648
ZUP1,262.15109152221,712.213529411765
HMGA1,312.0116610960835,767.4670588235291
FOSL2,172.82521088538402,475.5717647058825
SOX14,256.48092384261605,844.1764705882351
ZNF324,249.87514563029097,787.6552941176468
TLX2,265.6638671833942,727.8947058823527
IRF2,234.856217688128,616.051176470589
MBD4,153.802691055274,479.0941176470586
ZNF101,248.523176546758,714.4682352941176
GSX2,247.12422491784588,688.8782352941179
NHLH1,262.1475415543438,786.3888235294116
ZNF599,243.8147026557613,917.1076470588233
PBX1,191.144923641648,530.7994117647067
ZIC4,252.4911641308444,764.8394117647063
ZBTB45,278.2386553993794,781.0896470588233
PLAGL2,263.56599657315377,895.5664705882353
ZNF80,306.7729964073561,794.9364705882352
JUND,142.15128950342645,400.2762941176469
ZNF560,273.6603124689542,846.8664705882352
CBX2,177.72410978269326,549.9517647058823
TEAD1,214.07954346486568,539.835588235295
TCF21,217.261134243048,554.0597058823537
ATF1,176.05109795212772,501.1952941176469
ATOH1,297.68468323569505,748.0300000000003
ZHX2,190.47164492389388,644.4264705882363
ZBTB33,149.21287911144054,505.71176470588216
MBD1,218.63093287616653,851.1705882352943
DPF3,278.52727225692036,736.0576470588236
MAFK,158.19548463706056,487.51882352941163
ZNF514,293.8113926398598,760.9392352941177
TCF7L2,127.74515333598907,387.5005882352942
RFX4,252.65913069736402,807.0864705882353
BATF,172.10276524328614,499.55058823529396
HSF4,277.64143253899294,676.9329411764708
ATF3,152.09472367623297,388.1067058823527
TCF7L1,270.3848545077243,681.9817647058824
ZNF85,247.49316330145498,823.3364705882353
TFEC,326.2815914808817,710.309411764706
ZNF181,279.6581359813076,781.2015882352943
ZNF541,272.1498540955562,932.0452941176471
KLF16,258.26401539934176,751.9135294117647
DNTTIP1,323.9255674414348,785.9794117647059
ZZZ3,159.52416960816646,449.6882352941175
SNAPC5,320.4672406942123,862.8029411764705
FOS,157.82535991125536,573.1776470588236
PRMT3,296.6510707998253,645.4929411764706
ZNF143,156.79712264367356,487.07411764705887
SALL3,278.5343094627183,646.8137647058824
ZNF692,292.40315389532987,749.9494117647058
HOMEZ,243.6465614777773,983.9217647058828
KLF4,170.8642998384274,460.2058823529411
CENPT,260.9279934098026,739.4664705882352
TERF2,188.46894688920116,611.1741176470596
FOXC1,264.2413644625001,704.155882352941
PAX2,272.36650023269755,803.8764705882353
SOX18,335.4795378319468,666.7542941176471
ZNF670,316.7332828545237,699.1823529411764
OLIG3,264.05421771050464,781.7929411764707
ZNF543,241.2723730197816,670.8623529411766
ZNF99,241.70790570392444,916.736470588235
PRDM1,164.36474301037308,521.8035294117641
BPTF,369.75673498225933,736.8205882352942
PHF20,239.54813096334817,753.6641176470588
ZFP41,272.4896875295555,846.5964705882354
MEF2C,148.16001979872806,470.8035294117647
ZSCAN5B,276.87756304961295,882.9870588235293
ETV2,174.5233950300329,769.7311764705892
HEY2,285.4985260485834,740.8270588235295
ZNF716,271.5789936940483,895.8664705882355
PKNOX2,242.54724323702294,716.155882352941
SAFB2,310.981673850065,679.8029411764705
TP63,191.0994033744379,480.52941176470586
TEAD2,193.0389615042313,565.0473529411775
ZNF329,255.88825615560617,812.7864705882354
ZSCAN5A,230.30132678976844,967.4217647058824
ZNF391,260.6511721576622,822.1782352941176
E2F7,215.08705097562128,465.6223529411764
HES3,275.9968317228689,741.1760588235294
GATA4,160.76737284427324,446.68941176470577
POU3F3,270.35696213773616,657.4784705882353
TERB1,309.1301608160224,1031.7441176470588
AEBP1,355.3372850012759,695.7294117647059
FOXM1,184.4166967992599,437.56258823529396
ZNF749,273.4176771820256,637.0823529411769
ZNF516,254.17876509277144,770.0382352941177
THRA,188.22854673079118,511.5894117647067
ZNF681,278.40449509225596,826.6599999999997
CREB3,202.2470217519117,625.7017647058832
SMAD3,166.3175805826303,508.37529411764706
GATA1,172.8697904752772,462.716294117647
ZNF513,258.1024133590409,898.5041176470586
NRF1,151.11435385668872,488.4341176470588
ZKSCAN2,235.14035799915783,788.994705882353
ZNF248,255.08698413436355,766.7452941176468
